ID,Year,Month,French Way,Via de la Plata,Primitive Way,Portuguese Way,Northern Way,English Way,Other Ways,Muxia-Finisterre,Total,Spain,Germany,Italy,United States,Portugal,France,other_countries,Students,Workers,Freelancers,Employees,Teachers,Retirees,Technicians,Public_Servants,Unemployed,Housewives,other_works,<40,=>40,Europa,Oceania,Asia,Africa,America,Religious,Non-Religious,Foot,Bicycle,Other trans,Men,Women
201508,2015,8,33763,1494,2966,9209,4458,2584,132,188,54794,33222,2236,7964,774,2235,1582,6789,14025,1006,8537,11328,5569,2061,6231,2333,778,980,1946,51587,3207,51627,263,800,61,2043,49633,5161,49194,5500,100,29070,25724
201509,2015,9,24608,968,1837,6440,2159,1265,62,90,37429,15365,3220,2820,1947,1671,1497,10918,4831,0,5119,8435,1402,6154,5999,1992,669,823,2005,29152,8277,31174,836,791,203,4425,34390,3039,33588,3802,39,18949,18480
201510,2015,10,18457,736,843,3635,1207,580,59,59,25576,8030,2681,1363,2454,789,1262,9007,2654,0,3928,5860,1173,4887,3263,1244,587,560,1420,19264,6312,18538,896,1079,110,4953,24211,1365,23785,1740,51,13352,12224
201511,2015,11,3766,219,209,565,263,167,27,12,5228,2070,318,279,358,184,231,1799,622,104,614,1650,226,568,428,324,267,0,425,4507,721,3815,168,431,13,801,4911,317,4923,299,6,3104,2124
201512,2015,12,1328,90,59,322,128,106,16,13,2062,1096,83,111,60,105,73,546,305,74,379,547,131,127,163,129,102,0,105,1899,163,1653,29,188,5,187,1938,124,1911,149,2,1368,694
201601,2016,1,862,43,66,217,45,60,3,8,1304,579,61,86,50,69,0,460,253,61,209,301,99,45,111,89,51,0,85,1221,83,911,18,212,7,156,1195,109,1274,30,0,893,411
201602,2016,2,1195,40,38,286,40,117,12,5,1733,689,84,86,42,259,32,543,540,47,164,374,109,82,113,98,57,76,73,1600,133,1291,9,303,3,127,1599,134,1648,85,0,1113,620
201603,2016,3,7008,530,419,2243,316,507,29,15,11067,6834,819,247,284,885,0,2001,3534,0,1404,1853,988,509,1360,542,177,176,524,10285,782,9789,57,312,30,879,10006,1061,10348,698,21,5816,5251
201604,2016,4,9554,699,500,3315,533,470,19,10,15100,5134,1560,950,679,1510,666,4605,2304,0,2213,3387,825,2228,1941,843,257,343,759,11991,3109,12586,245,654,46,1569,13969,1131,13854,1215,31,8028,7072
201605,2016,5,21302,1230,1228,6399,1480,978,72,87,32776,9384,4042,2411,2375,1506,1486,11577,2294,0,5557,6603,1385,7222,4701,2171,514,757,1572,23300,9476,25390,1030,1172,133,5051,30632,2144,29790,2920,66,17073,15703
201606,2016,6,25615,1287,1604,6908,2268,1176,109,103,39070,14187,3310,3751,3193,2158,1745,10732,5574,0,5403,7700,1744,7838,4855,2396,630,1016,1914,29008,10062,30783,962,1148,156,6021,36292,2778,34758,4231,81,20553,18517
201607,2016,7,27768,1595,2076,8082,3745,1984,148,73,45471,26710,2033,3307,2322,1564,1124,8418,13983,0,5306,8223,4891,3255,4009,2567,669,857,1711,40691,4780,39630,444,855,133,4409,41757,3714,42047,3379,45,22993,22478
201608,2016,8,32226,1441,3035,9985,4416,2193,163,245,53704,32249,2376,7507,865,2236,1183,7296,12137,831,9074,11287,5699,2377,6355,2569,673,987,1715,50010,3694,50205,316,840,62,2281,48432,5272,48661,4967,76,27893,25811
201609,2016,9,25252,922,1771,8354,2397,1253,65,135,40149,15825,3671,3306,2365,1566,1196,12229,5282,0,6175,9346,1456,6310,5739,2519,633,825,1864,31112,9037,32869,944,801,139,5396,36631,3518,36557,3538,54,19668,20481
201610,2016,10,19050,881,987,4941,1567,682,53,61,28222,8728,2759,1649,2617,1147,1015,10317,2748,0,4701,6087,1242,5063,4239,1507,585,632,1418,21425,6797,20027,996,1414,130,5655,26477,1745,26341,1819,62,14405,13817
201611,2016,11,4407,206,262,972,317,174,40,16,6394,2320,407,509,384,218,245,2322,660,170,1109,1890,321,687,545,331,228,136,317,5423,971,4670,169,548,16,991,6002,392,6061,324,9,3740,2654
201612,2016,12,1836,193,103,436,165,109,10,12,2864,1591,98,135,60,127,76,789,580,113,445,689,163,199,281,125,92,0,177,2547,317,2221,31,226,8,378,2641,223,2686,141,37,1859,1005
201701,2017,1,841,23,54,293,52,63,15,13,1354,564,57,93,54,50,24,513,299,51,210,271,132,37,145,70,39,0,100,1281,73,934,23,246,5,146,1244,110,1299,53,2,914,440
201702,2017,2,1095,76,70,336,50,47,12,10,1696,692,91,77,54,145,0,639,483,39,210,394,88,170,128,55,45,0,84,1565,131,1199,16,298,0,183,1579,117,1639,57,0,1120,576
201703,2017,3,3004,173,155,1472,182,173,11,6,5176,2290,584,269,231,423,87,1295,1528,160,587,1192,242,435,366,268,103,0,295,4639,537,4313,38,252,11,562,4655,521,4902,262,12,2882,2294
201704,2017,4,16300,929,940,6679,900,1075,50,52,26925,12442,2331,1244,925,2777,628,6582,6258,0,3091,5962,2128,2388,3680,1288,401,492,1237,23506,3419,23146,333,756,123,2567,24113,2812,24845,2004,76,13422,13503
201705,2017,5,21512,1351,1452,8034,1696,1115,121,66,35347,9268,4304,2931,2685,1595,1489,13080,2252,0,3917,10359,1388,7867,4367,1988,592,827,1790,24894,10453,26467,1080,1409,188,6203,32636,2711,32377,2907,63,17858,17489
201706,2017,6,26205,1179,1929,8363,2323,1280,263,77,41619,14756,3967,3665,3797,1591,1568,12281,6268,0,3531,11184,1878,7598,4699,3056,675,862,1868,31654,9965,31602,1087,1275,257,7398,38155,3464,37928,3631,60,21077,20542
201707,2017,7,27061,1699,2453,9891,3816,2232,167,151,47470,27096,2168,3722,2505,1505,1131,9350,15417,0,3585,9387,5389,3260,4043,2892,526,866,2105,42551,4919,41010,522,1118,212,4608,43208,4262,44036,3272,162,23880,23590
201708,2017,8,32638,1472,3089,13322,4343,2557,129,130,57680,34198,2363,9262,1137,1679,1151,7898,14532,980,6864,14742,6053,2443,5352,3071,0,969,2674,53822,3858,53468,277,1030,127,2778,51464,6216,53349,4199,132,29892,27788
201709,2017,9,25677,957,2022,9533,2378,1428,105,89,42189,16720,3780,3419,2515,1410,1236,13118,5529,0,5296,11984,1619,6740,4662,2773,513,905,2168,32688,9501,34073,984,968,188,5976,38293,3896,38938,3203,48,20172,22017
201710,2017,10,20017,937,1151,6488,1570,1033,105,40,31341,10170,2837,1756,3105,1243,1107,11133,2831,0,4296,9032,1278,5904,3149,1970,539,647,1695,23245,8096,22067,1153,1491,153,6477,28769,2572,29442,1848,51,15802,15539
201711,2017,11,4650,241,285,1476,429,201,38,26,7346,2719,618,489,427,317,322,2465,630,0,1060,2097,279,888,1063,434,211,147,537,6198,1148,5385,157,670,22,1112,6795,551,7009,334,3,4289,3057
201712,2017,12,1737,101,84,676,97,117,76,5,2893,1564,127,146,87,206,72,703,450,89,492,621,158,164,445,183,101,0,190,2646,247,2316,68,240,2,267,2583,310,2726,163,4,1862,1031
201801,2018,1,995,60,108,311,58,76,15,4,1627,681,65,117,46,57,33,629,366,33,160,336,161,75,204,84,59,20,129,0,0,1113,27,257,2,228,1449,178,1576,51,0,1046,581
201802,2018,2,1110,89,70,746,66,74,10,16,2181,791,129,113,45,342,62,701,599,70,232,485,116,146,222,90,51,50,120,0,0,1646,14,285,16,220,2020,161,2081,96,4,1332,849
201803,2018,3,6417,338,322,3070,350,442,47,70,11056,6215,944,295,405,980,122,2098,3940,163,1421,1847,927,583,1060,586,136,128,265,0,0,9609,74,304,30,1039,10019,1037,10720,332,4,5736,5320
201804,2018,4,11944,762,801,6707,736,925,66,127,22068,7794,2510,1322,975,2127,565,6779,3714,152,2733,5183,1483,2882,2797,1526,287,429,882,0,0,18213,405,773,136,2541,20155,1913,20795,1227,46,10766,11302
201805,2018,5,23848,0,1715,10496,1728,0,2878,0,40665,11257,5124,3220,2936,0,1521,16612,3015,0,4815,11571,0,8860,4237,0,0,0,8167,28984,11681,30602,1078,1689,0,7022,37487,3178,37689,2923,53,19846,20819
201806,2018,6,27346,1363,1958,10312,2631,1737,163,175,45685,17420,3673,3917,4089,1807,1524,13261,6858,490,4981,12467,2087,8567,3832,2969,623,1139,1672,0,0,34943,1109,1755,259,7619,41352,4333,41857,3789,39,22743,22942
201807,2018,7,27416,1571,2555,11999,3963,2958,233,172,50867,30187,2231,3565,2516,1520,971,9884,16232,363,5038,10153,5936,3603,3519,2775,531,901,1816,0,0,44197,514,1079,302,4775,46041,4826,48035,2720,112,24835,26032
201808,2018,8,33381,1568,3507,13948,4762,2998,119,132,60415,36422,2319,8417,1114,2205,1100,8846,13625,1095,8407,15595,6523,2774,5729,2935,613,1124,1995,0,0,55714,286,1094,180,3141,53981,6434,56421,3883,111,30448,29967
201809,2018,9,26197,981,2211,13048,2548,1783,94,144,47006,18491,4162,3498,2799,1607,1341,15117,6141,570,6184,13841,1827,7422,4622,2945,555,976,1923,0,0,37204,1144,1117,409,7132,42444,4562,43645,3299,62,22353,24653
201810,2018,10,21345,753,1426,8857,1672,1282,107,160,35602,11038,3498,1836,3104,1848,1185,13103,3110,306,5058,10231,1636,6850,3482,1806,639,848,1636,0,0,25496,1267,1852,273,6714,32471,3131,33489,2045,68,17484,18118
201811,2018,11,4718,320,240,1609,425,265,48,26,7651,2698,531,546,466,347,288,2786,746,102,1330,2178,321,799,898,473,241,136,427,0,0,5507,219,724,23,1178,7005,646,7300,331,20,4307,3344
201812,2018,12,1482,85,125,559,101,160,34,7,2553,1145,110,163,87,120,63,877,327,39,426,723,132,191,283,137,118,38,139,0,0,1872,44,303,9,325,2332,221,2455,90,8,1644,909
201901,2019,1,905,56,54,449,73,89,16,9,1651,638,86,104,60,83,25,656,270,32,273,446,144,78,179,110,33,12,74,1520,131,1125,27,269,2,228,1502,149,1599,51,1,1088,563
201902,2019,2,1235,59,90,559,54,101,14,7,2119,913,134,90,64,125,37,758,537,26,300,513,137,168,170,92,71,28,77,1889,230,1535,17,359,3,205,1848,271,2063,55,1,1245,874
201903,2019,3,3724,330,225,2583,165,382,45,20,7474,3113,961,301,367,774,100,1861,1897,87,1218,1598,364,654,703,356,135,145,317,6534,940,6215,63,307,35,854,6750,724,7118,329,27,3922,3552
201904,2019,4,17119,980,1244,9823,914,1435,143,64,31722,12976,2798,1683,1171,3686,604,8808,6709,391,4489,7243,2582,3218,3293,1599,360,541,1297,27019,4703,26875,441,999,172,3235,28083,3639,30113,1543,66,15209,16513
201905,2019,5,25706,1430,1911,13407,1992,1742,371,114,46673,13130,4986,3537,3500,2120,1669,17736,4093,555,6632,12594,1861,10311,4676,2424,628,1002,1897,32942,13731,34991,1195,2288,331,7868,41647,5026,43834,2752,87,22508,24165
201906,2019,6,28028,1455,2200,12273,2768,1929,182,223,49058,17857,4178,3642,4240,2605,1488,15054,7757,620,5688,10998,2615,8782,5711,3044,623,1051,2169,37245,11813,37020,1108,2139,398,8393,43496,5562,44860,4100,98,24339,24719
201907,2019,7,27802,1672,2569,13367,4326,2754,281,548,53319,31066,2391,3642,2606,1723,1157,10741,17184,531,4718,9085,6543,3916,4510,3015,475,986,2356,47347,5972,45856,564,1570,278,5051,47518,5801,50648,2516,155,25778,27541
201908,2019,8,33089,1201,3563,16672,4109,3660,179,341,62814,36564,2383,9189,1245,2596,1280,9565,14179,944,8594,16600,6697,2997,5955,2856,545,1006,2441,57818,4996,57507,319,1502,233,3253,55136,7678,58921,3709,184,31357,31457
201909,2019,9,25010,761,2112,13214,2335,1991,119,111,45653,16429,4042,3662,3306,1528,1171,15524,5851,475,7529,11712,1837,7423,4768,2723,492,925,1918,34873,10780,34940,1154,1529,519,7511,41452,4201,43021,2565,67,20746,24907
201910,2019,10,20796,884,1339,9798,1747,1242,242,70,36118,9718,3589,2198,3512,1565,1286,14260,3274,206,7157,8991,1522,7311,2710,1908,623,749,1667,25983,10135,24871,1103,2505,295,7344,32250,3868,34553,1527,38,17316,18802
201911,2019,11,4969,264,323,1887,398,319,96,18,8274,2804,526,511,490,473,344,3137,635,106,2245,2224,338,934,637,375,278,148,354,6888,1386,5617,212,1058,50,1337,7330,944,7951,323,0,4589,3685
201912,2019,12,1557,109,85,617,140,138,41,23,2710,1148,93,190,91,172,87,941,299,56,615,754,109,178,313,134,87,41,124,2424,286,1938,56,414,21,281,2419,291,2607,93,10,1685,1025
202001,2020,1,1091,51,45,529,101,137,39,8,2001,658,99,174,72,80,41,878,329,35,367,537,143,98,204,90,59,28,111,1829,172,1248,44,440,5,264,1784,217,1935,66,0,1236,765
202002,2020,2,1666,83,96,923,60,179,50,19,3076,1142,183,164,70,466,37,1016,908,56,426,757,235,146,214,110,79,29,116,2829,247,2325,18,442,9,282,2698,378,2962,101,13,1835,1241
202003,2020,3,1060,65,80,565,51,108,4,15,1948,897,220,63,85,115,32,539,450,67,317,494,95,144,134,78,62,38,69,1749,199,1586,15,124,2,221,1725,223,1890,58,0,1062,886
202006,2020,6,5,0,1,1,1,4,0,0,12,11,0,0,0,0,0,7,0,0,3,1,1,2,0,3,0,0,2,0,0,12,0,0,0,0,12,0,12,0,0,9,3
202007,2020,7,5326,220,658,2129,600,708,91,20,9752,7859,336,321,43,303,161,736,1530,88,835,1880,684,336,630,382,138,80,3169,0,0,9455,4,42,12,239,7660,2092,8998,736,18,5400,4352
202008,2020,8,10446,310,1422,4455,1803,972,254,150,19812,15168,642,1203,84,732,428,1563,767,96,545,1422,354,281,368,207,91,87,15594,10,2,19074,18,73,25,622,14726,5086,17988,1798,26,10599,9213
202009,2020,9,5456,206,691,2598,743,547,177,23,10441,7275,479,411,41,662,336,1246,221,36,213,738,40,379,214,158,51,49,8342,9116,636,9955,15,50,14,407,7414,3027,9302,1123,16,5838,4603
202010,2020,10,3416,140,391,1688,393,268,94,28,6418,3825,330,311,51,590,386,935,31,31,122,420,26,258,103,56,34,17,5320,18694,1118,6089,11,34,13,271,4527,1891,5824,581,13,3816,2602
202011,2020,11,408,30,14,61,51,8,13,0,585,181,49,58,0,18,95,195,5,3,20,51,0,21,14,4,7,0,460,9150,1291,525,5,12,1,42,422,163,559,18,8,371,214
202012,2020,12,32,20,1,39,1,1,5,0,99,45,6,1,1,5,10,43,5,0,13,11,3,2,4,4,0,0,57,5579,839,83,1,9,0,6,80,19,87,12,0,55,44
202101,2021,1,28,4,3,17,3,5,0,0,60,27,9,0,2,9,2,12,2,0,8,4,0,3,0,0,4,0,39,529,56,54,0,1,0,5,50,10,57,2,1,45,15
202102,2021,2,9,0,2,3,0,0,0,0,14,4,0,1,0,0,4,7,0,0,1,1,0,0,1,0,1,0,10,96,3,13,0,0,0,1,12,2,12,2,0,10,4
202103,2021,3,121,5,10,24,0,29,5,0,194,155,5,4,1,0,3,29,5,6,14,19,2,8,8,2,6,5,119,56,4,175,0,4,0,15,143,51,187,5,2,105,89
202104,2021,4,519,66,62,235,28,78,21,15,1024,808,42,18,25,23,17,95,21,14,32,61,14,25,16,6,9,5,821,14,0,956,0,8,1,59,757,267,996,26,2,486,538
202105,2021,5,2258,165,273,1005,168,346,65,15,4295,3024,130,102,19,474,79,472,20,5,58,139,12,62,30,12,6,12,3939,175,19,4119,1,23,4,148,3226,1069,3898,387,10,2155,2140
202106,2021,6,8092,467,758,3683,721,730,317,56,14824,10382,424,440,162,1717,362,1343,557,18,95,356,63,262,43,96,14,10,13310,942,82,14229,9,46,13,527,11491,3333,13277,1473,74,7809,7015
202107,2021,7,18869,648,2111,7320,2148,2155,393,319,33963,25750,830,1234,748,1131,862,3415,1421,0,411,1266,269,841,244,250,57,95,29109,3667,628,32004,29,155,52,1723,27409,6554,31763,2148,52,16499,17464
202108,2021,8,24262,713,2661,9566,2613,3052,607,101,43575,34381,878,2404,543,1297,707,3373,1129,0,256,907,177,562,173,194,0,60,40117,12456,2368,41800,17,193,53,1511,35260,8315,41332,2132,111,21313,22262
202109,2021,9,20796,591,2097,9049,1946,2089,772,123,37463,23830,1823,1692,1741,1551,996,5839,683,0,373,1120,101,1563,192,125,0,80,33226,30434,3529,33836,31,212,47,3337,29562,7901,35150,2240,73,18727,18735
202110,2021,10,16721,898,1635,8190,1424,1620,554,128,31170,16586,1901,1303,1952,2406,980,6052,174,0,339,698,99,1252,176,125,58,75,28174,40084,3491,26840,38,238,39,4015,24749,6421,29236,1875,59,16241,14929
202111,2021,11,4735,304,422,2281,391,685,237,39,9094,5020,428,481,409,620,351,1796,36,0,114,282,31,239,52,53,15,22,8250,29405,8058,7756,9,198,19,1112,7139,1955,8679,405,10,4857,4237
202112,2021,12,691,41,48,278,40,66,28,1,1193,809,32,46,24,70,52,172,9,0,8,54,0,21,5,0,0,0,1096,23308,7862,1084,5,22,3,79,906,287,1168,21,4,678,515
202201,2022,1,860,57,55,392,49,115,86,3,1617,993,30,104,78,63,22,328,35,2,35,71,10,23,14,25,5,6,1391,7321,1773,1347,5,51,0,214,1260,357,1585,29,3,917,700
202202,2022,2,880,78,179,658,62,117,59,1,2034,1164,103,70,44,176,46,433,58,0,47,114,25,40,29,9,18,0,1694,1059,134,1735,5,61,3,230,1574,460,1959,62,13,1166,868
202203,2022,3,3921,161,286,2285,192,373,153,18,7389,3843,651,235,324,704,137,1498,352,0,102,365,66,244,74,44,26,29,6087,1484,133,6302,19,98,19,951,5664,1725,7177,197,15,3896,3493
202204,2022,4,18330,989,1270,10284,950,1763,531,166,34283,18427,2213,1184,1604,3206,586,7067,1041,0,421,1074,216,1044,300,216,0,78,29893,1797,237,29635,101,552,86,3909,26131,8152,32674,1522,87,15639,18644
202205,2022,5,25907,1282,2487,13738,1736,2388,574,142,48254,18258,4457,3042,3882,2035,1589,14996,1071,83,1196,2332,284,4089,517,267,100,190,38125,6285,1104,37865,286,1208,174,8721,37554,10700,45264,2880,110,22796,25458
202206,2022,6,31598,1536,2487,15756,2664,2502,1345,124,58012,27075,3911,3548,4908,3794,1812,12970,1643,107,1265,2944,463,4122,842,751,153,250,45472,28796,5487,47309,510,999,188,9006,44952,13060,53359,4417,236,28175,29837
202207,2022,7,34839,1613,3327,17899,4258,3905,1170,363,67374,45379,2059,3417,3547,1742,1303,9934,1925,0,629,2534,770,1775,439,328,89,125,42465,32875,15379,59466,277,847,258,6526,52851,14523,63952,3222,200,31151,36223
202208,2022,8,40745,2137,5532,23730,4756,6590,2014,338,85842,61542,2103,8314,1374,2638,1344,8535,1853,0,777,2862,646,1166,522,230,0,0,77786,43092,14920,80892,240,833,129,3748,66850,18992,81945,3703,194,40301,45541
202209,2022,9,33556,1069,3055,20249,2822,3572,1604,269,66196,33287,4017,3898,4473,2154,1506,16870,411,114,988,2411,250,2740,371,214,96,145,58456,59061,8313,53939,642,1126,305,10184,49935,16261,62228,3777,191,30514,35681
202210,2022,10,28086,955,2041,14929,2322,2030,856,137,51356,20979,3013,2512,4992,2919,1515,15436,236,91,645,1571,213,2345,423,170,95,119,45448,78706,7136,38049,693,2249,247,10118,38861,12495,48788,2522,46,24511,26845
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49524,16672,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37252,14104,,,,,,,,,,,,
