ID,Year,Month,Foot,Bicycle,Total,Other trans,route_id
201004,2010,4,17293,2085,19587,209,76
201005,2010,5,24648,4073,28846,125,77
201006,2010,6,27891,5710,33756,155,78
201007,2010,7,37649,4622,42466,195,79
201008,2010,8,53688,7644,61534,202,80
201009,2010,9,31665,5042,36848,141,81
201010,2010,10,23746,2732,26598,120,82
201011,2010,11,7505,543,8075,27,83
201012,2010,12,5638,257,5967,72,84
201101,2011,1,610,33,644,1,85
201102,2011,2,750,70,820,0,86
201103,2011,3,2472,550,3023,1,87
201104,2011,4,12304,1813,14154,37,88
201105,2011,5,16687,3063,19805,55,89
201106,2011,6,19806,5384,25239,49,90
201107,2011,7,26081,4709,30842,52,91
201108,2011,8,34064,7383,41489,42,92
201109,2011,9,21518,4446,26023,59,93
201110,2011,10,14187,2009,16243,47,94
201111,2011,11,3264,318,3591,9,95
201112,2011,12,1328,170,1498,0,96
201201,2012,1,810,62,872,0,97
201202,2012,2,1221,78,1305,6,98
201203,2012,3,2932,324,3260,4,99
201204,2012,4,12753,1953,14749,43,100
201205,2012,5,18598,3147,21776,31,101
201206,2012,6,20853,4631,25517,33,102
201207,2012,7,28690,4095,32818,33,103
201208,2012,8,34557,6480,41096,59,104
201209,2012,9,23266,4023,27321,32,105
201210,2012,10,15897,2140,18091,54,106
201211,2012,11,3778,389,4170,3,107
201212,2012,12,1394,84,1483,5,108
201301,2013,1,760,44,806,2,109
201302,2013,2,1260,112,1382,10,110
201303,2013,3,6681,477,7228,70,111
201304,2013,4,9865,1600,11532,67,112
201305,2013,5,22038,3016,25205,151,113
201306,2013,6,24144,5061,29374,169,114
201307,2013,7,32356,3989,36559,214,115
201308,2013,8,40415,6176,46726,135,116
201309,2013,9,26768,4001,30894,125,117
201310,2013,10,17836,1692,19607,79,118
201311,2013,11,4516,376,4907,15,119
201312,2013,12,1548,105,1659,6,120
201401,2014,1,862,43,906,1,121
201402,2014,2,945,24,970,1,122
201403,2014,3,2877,268,3150,5,123
201404,2014,4,15442,1779,17347,126,124
201405,2014,5,24075,3129,27354,150,125
201406,2014,6,28274,4586,33021,161,126
201407,2014,7,35640,3707,39581,234,127
201408,2014,8,44918,5834,51218,466,128
201409,2014,9,30314,3821,34457,322,129
201410,2014,10,21371,1702,23205,132,130
201411,2014,11,4488,305,4803,10,131
201412,2014,12,1733,127,1870,10,132
201501,2015,1,1158,59,1217,0,133
201502,2015,2,1468,76,1544,0,134
201503,2015,3,4806,270,5080,4,135
201504,2015,4,16180,1485,17721,56,136
201505,2015,5,27088,3943,31076,45,137
