ID,Year,Month,Total,<40,=>40
202004,2020,4,0,0,0
202005,2020,5,0,0,0
202006,2020,6,12,10,2
202007,2020,7,9752,9116,636
202008,2020,8,19812,18694,1118
202009,2020,9,10441,9150,1291
202010,2020,10,6418,5579,839
202011,2020,11,585,529,56
202012,2020,12,99,96,3
202101,2021,1,60,56,4
202102,2021,2,14,14,0
202103,2021,3,194,175,19
202104,2021,4,1024,942,82
202105,2021,5,4295,3667,628
202106,2021,6,14824,12456,2368
202107,2021,7,33963,30434,3529
202108,2021,8,43575,40084,3491
202109,2021,9,37463,29405,8058
202110,2021,10,31170,23308,7862
202111,2021,11,9094,7321,1773
202112,2021,12,1193,1059,134
202201,2022,1,1617,1484,133
202202,2022,2,2034,1797,237
202203,2022,3,7389,6285,1104
202204,2022,4,34283,28796,5487
202205,2022,5,48254,32875,15379
202206,2022,6,58012,43092,14920
202207,2022,7,67374,59061,8313
202208,2022,8,85842,78706,7136
202209,2022,9,66196,49524,16672
202210,2022,10,51356,37252,14104
