ID,Year,Month,French Way,Via de la Plata,Primitive Way,Portuguese Way,Northern Way,English Way,Other Ways,Muxia-Finisterre,Total,route_id
201207,2012,7,22396,1373,1168,4241,2804,655,86,95,32818,103
201208,2012,8,27799,1390,1743,5071,3786,1095,92,120,41096,104
201209,2012,9,19884,848,1013,3354,1724,410,52,36,27321,105
201210,2012,10,13601,634,478,2265,846,223,27,17,18091,106
201211,2012,11,3019,210,169,506,200,44,14,8,4170,107
201212,2012,12,1024,50,43,211,70,58,9,18,1483,108
201301,2013,1,562,45,14,120,36,21,3,5,806,109
201302,2013,2,946,87,24,258,36,24,3,4,1382,110
201303,2013,3,4708,298,182,1487,198,316,11,28,7228,111
201304,2013,4,7832,535,390,2043,466,223,10,33,11532,112
201305,2013,5,18110,1307,654,3441,1172,427,69,25,25205,113
201306,2013,6,20968,1408,827,4070,1533,465,56,47,29374,114
201307,2013,7,25240,1424,1083,4815,2941,830,100,126,36559,115
201308,2013,8,31609,1658,1855,6403,3867,1190,48,96,46726,116
201309,2013,9,22136,1064,1095,4119,1795,570,67,48,30894,117
201310,2013,10,14891,728,542,2156,983,244,36,27,19607,118
201311,2013,11,3677,349,120,409,245,66,32,9,4907,119
201312,2013,12,1139,113,93,229,42,28,9,6,1659,120
201401,2014,1,609,25,58,136,43,32,2,1,906,121
201402,2014,2,679,92,27,114,35,22,0,1,970,122
201403,2014,3,2087,145,67,610,102,121,8,10,3150,123
201404,2014,4,11383,799,469,3552,589,509,17,29,17347,124
201405,2014,5,18834,1292,742,4575,1206,506,120,79,27354,125
201406,2014,6,23251,1361,1072,4566,1781,820,76,94,33021,126
201407,2014,7,26105,1495,1526,5496,3189,1508,74,188,39581,127
201408,2014,8,33983,1490,2140,7334,3939,2019,226,87,51218,128
201409,2014,9,23669,975,1358,5407,1918,962,72,96,34457,129
201410,2014,10,16677,579,646,2827,1872,487,66,51,23205,130
201411,2014,11,3528,146,133,556,272,116,43,9,4803,131
201412,2014,12,1205,89,82,321,62,92,12,7,1870,132
201501,2015,1,847,45,15,215,18,51,17,9,1217,133
201502,2015,2,1129,61,24,244,54,23,3,6,1544,134
201503,2015,3,3418,199,217,921,132,148,12,33,5080,135
201504,2015,4,11433,746,700,3450,665,670,27,30,17721,136
201505,2015,5,20534,1432,1086,5780,1298,779,75,92,31076,137
201506,2015,6,25018,1339,1466,4911,1877,1060,79,173,35923,138
201507,2015,7,27921,1893,2050,7446,3549,1812,70,53,44794,139
201508,2015,8,33763,1494,2966,9209,4458,2584,132,188,54794,140
201509,2015,9,24608,968,1837,6440,2159,1265,62,90,37429,141
201510,2015,10,18457,736,843,3635,1207,580,59,59,25576,142
201511,2015,11,3766,219,209,565,263,167,27,12,5228,143
201512,2015,12,1328,90,59,322,128,106,16,13,2062,144
201601,2016,1,862,43,66,217,45,60,3,8,1304,145
201602,2016,2,1195,40,38,286,40,117,12,5,1733,146
201603,2016,3,7008,530,419,2243,316,507,29,15,11067,147
201604,2016,4,9554,699,500,3315,533,470,19,10,15100,148
201605,2016,5,21302,1230,1228,6399,1480,978,72,87,32776,149
201606,2016,6,25615,1287,1604,6908,2268,1176,109,103,39070,150
201607,2016,7,27768,1595,2076,8082,3745,1984,148,73,45471,151
201608,2016,8,32226,1441,3035,9985,4416,2193,163,245,53704,152
201609,2016,9,25252,922,1771,8354,2397,1253,65,135,40149,153
201610,2016,10,19050,881,987,4941,1567,682,53,61,28222,154
201611,2016,11,4407,206,262,972,317,174,40,16,6394,155
201612,2016,12,1836,193,103,436,165,109,10,12,2864,156
201701,2017,1,841,23,54,293,52,63,15,13,1354,157
201702,2017,2,1095,76,70,336,50,47,12,10,1696,158
201703,2017,3,3004,173,155,1472,182,173,11,6,5176,159
201704,2017,4,16300,929,940,6679,900,1075,50,52,26925,160
201705,2017,5,21512,1351,1452,8034,1696,1115,121,66,35347,161
201706,2017,6,26205,1179,1929,8363,2323,1280,263,77,41619,162
201707,2017,7,27061,1699,2453,9891,3816,2232,167,151,47470,163
201708,2017,8,32638,1472,3089,13322,4343,2557,129,130,57680,164
201709,2017,9,25677,957,2022,9533,2378,1428,105,89,42189,165
201710,2017,10,20017,937,1151,6488,1570,1033,105,40,31341,166
201711,2017,11,4650,241,285,1476,429,201,38,26,7346,167
201712,2017,12,1737,101,84,676,97,117,76,5,2893,168
201801,2018,1,995,60,108,311,58,76,15,4,1627,169
201802,2018,2,1110,89,70,746,66,74,10,16,2181,170
201803,2018,3,6417,338,322,3070,350,442,47,70,11056,171
201804,2018,4,11944,762,801,6707,736,925,66,127,22068,172
201805,2018,5,23848,0,1715,10496,1728,0,2878,0,40665,173
201806,2018,6,27346,1363,1958,10312,2631,1737,163,175,45685,174
201807,2018,7,27416,1571,2555,11999,3963,2958,233,172,50867,175
201808,2018,8,33381,1568,3507,13948,4762,2998,119,132,60415,176
201809,2018,9,26197,981,2211,13048,2548,1783,94,144,47006,177
201810,2018,10,21345,753,1426,8857,1672,1282,107,160,35602,178
201811,2018,11,4718,320,240,1609,425,265,48,26,7651,179
201812,2018,12,1482,85,125,559,101,160,34,7,2553,180
201901,2019,1,905,56,54,449,73,89,16,9,1651,181
201902,2019,2,1235,59,90,559,54,101,14,7,2119,182
201903,2019,3,3724,330,225,2583,165,382,45,20,7474,183
201904,2019,4,17119,980,1244,9823,914,1435,143,64,31722,184
201905,2019,5,25706,1430,1911,13407,1992,1742,371,114,46673,185
201906,2019,6,28028,1455,2200,12273,2768,1929,182,223,49058,186
201907,2019,7,27802,1672,2569,13367,4326,2754,281,548,53319,187
201908,2019,8,33089,1201,3563,16672,4109,3660,179,341,62814,188
201909,2019,9,25010,761,2112,13214,2335,1991,119,111,45653,189
201910,2019,10,20796,884,1339,9798,1747,1242,242,70,36118,190
201911,2019,11,4969,264,323,1887,398,319,96,18,8274,191
201912,2019,12,1557,109,85,617,140,138,41,23,2710,192
202001,2020,1,1091,51,45,529,101,137,39,8,2001,193
202002,2020,2,1666,83,96,923,60,179,50,19,3076,194
202003,2020,3,1060,65,80,565,51,108,4,15,1948,195
202006,2020,6,5,0,1,1,1,4,0,0,12,196
202007,2020,7,5326,220,658,2129,600,708,91,20,9752,197
202008,2020,8,10446,310,1422,4455,1803,972,254,150,19812,198
202009,2020,9,5456,206,691,2598,743,547,177,23,10441,199
202010,2020,10,3416,140,391,1688,393,268,94,28,6418,200
202011,2020,11,408,30,14,61,51,8,13,0,585,201
202012,2020,12,32,20,1,39,1,1,5,0,99,202
202101,2021,1,28,4,3,17,3,5,0,0,60,203
202102,2021,2,9,0,2,3,0,0,0,0,14,204
202103,2021,3,121,5,10,24,0,29,5,0,194,205
202104,2021,4,519,66,62,235,28,78,21,15,1024,206
202105,2021,5,2258,165,273,1005,168,346,65,15,4295,207
202106,2021,6,8092,467,758,3683,721,730,317,56,14824,208
202107,2021,7,18869,648,2111,7320,2148,2155,393,319,33963,209
202108,2021,8,24262,713,2661,9566,2613,3052,607,101,43575,210
202109,2021,9,20796,591,2097,9049,1946,2089,772,123,37463,211
202110,2021,10,16721,898,1635,8190,1424,1620,554,128,31170,212
202111,2021,11,4735,304,422,2281,391,685,237,39,9094,213
202112,2021,12,691,41,48,278,40,66,28,1,1193,214
202201,2022,1,860,57,55,392,49,115,86,3,1617,215
202202,2022,2,880,78,179,658,62,117,59,1,2034,216
202203,2022,3,3921,161,286,2285,192,373,153,18,7389,217
202204,2022,4,18330,989,1270,10284,950,1763,531,166,34283,218
202205,2022,5,25907,1282,2487,13738,1736,2388,574,142,48254,219
202206,2022,6,31598,1536,2487,15756,2664,2502,1345,124,58012,220
202207,2022,7,34839,1613,3327,17899,4258,3905,1170,363,67374,221
202208,2022,8,40745,2137,5532,23730,4756,6590,2014,338,85842,222
202209,2022,9,33556,1069,3055,20249,2822,3572,1604,269,66196,223
202210,2022,10,28086,955,2041,14929,2322,2030,856,137,51356,224
