ID,Men,Women,=>40,<40,Total
201409.0,17972.0,16485.0,7429,27028,34457.0
201410.0,12246.0,10959.0,5598,17607,23205.0
201411.0,2893.0,1910.0,698,4105,4803.0
201412.0,1260.0,610.0,158,1712,1870.0
201501.0,783.0,434.0,53,1164,1217.0
201502.0,951.0,593.0,73,1471,1544.0
201503.0,2832.0,2248.0,415,4665,5080.0
201504.0,9186.0,8535.0,2666,15055,17721.0
201505.0,17122.0,13954.0,8523,22553,31076.0
201506.0,19253.0,16670.0,8867,27056,35923.0
201507.0,22947.0,21847.0,4458,40336,44794.0
201508.0,29070.0,25724.0,3207,51587,54794.0
201509.0,18949.0,18480.0,8277,29152,37429.0
201510.0,13352.0,12224.0,6312,19264,25576.0
201511.0,3104.0,2124.0,721,4507,5228.0
201512.0,1368.0,694.0,163,1899,2062.0
201601.0,893.0,411.0,83,1221,1304.0
201602.0,1113.0,620.0,133,1600,1733.0
201603.0,5816.0,5251.0,782,10285,11067.0
201604.0,8028.0,7072.0,3109,11991,15100.0
201605.0,17073.0,15703.0,9476,23300,32776.0
201606.0,20553.0,18517.0,10062,29008,39070.0
201607.0,22993.0,22478.0,4780,40691,45471.0
201608.0,27893.0,25811.0,3694,50010,53704.0
201609.0,19668.0,20481.0,9037,31112,40149.0
201610.0,14405.0,13817.0,6797,21425,28222.0
201611.0,3740.0,2654.0,971,5423,6394.0
201612.0,1859.0,1005.0,317,2547,2864.0
201701.0,914.0,440.0,73,1281,1354.0
201702.0,1120.0,576.0,131,1565,1696.0
201703.0,2882.0,2294.0,537,4639,5176.0
201704.0,13422.0,13503.0,3419,23506,26925.0
201705.0,17858.0,17489.0,10453,24894,35347.0
201706.0,21077.0,20542.0,9965,31654,41619.0
201707.0,23880.0,23590.0,4919,42551,47470.0
201708.0,29892.0,27788.0,3858,53822,57680.0
201709.0,20172.0,22017.0,9501,32688,42189.0
201710.0,15802.0,15539.0,8096,23245,31341.0
201711.0,4289.0,3057.0,1148,6198,7346.0
201712.0,1862.0,1031.0,247,2646,2893.0
201801.0,1046.0,581.0,0,0,1627.0
201802.0,1332.0,849.0,0,0,2181.0
201803.0,5736.0,5320.0,0,0,11056.0
201804.0,10766.0,11302.0,0,0,22068.0
201805.0,19846.0,20819.0,11681,28984,40665.0
201806.0,22743.0,22942.0,0,0,45685.0
201807.0,24835.0,26032.0,0,0,50867.0
201808.0,30448.0,29967.0,0,0,60415.0
201809.0,22353.0,24653.0,0,0,47006.0
201810.0,17484.0,18118.0,0,0,35602.0
201811.0,4307.0,3344.0,0,0,7651.0
201812.0,1644.0,909.0,0,0,2553.0
201901.0,1088.0,563.0,131,1520,1651.0
201902.0,1245.0,874.0,230,1889,2119.0
201903.0,3922.0,3552.0,940,6534,7474.0
201904.0,15209.0,16513.0,4703,27019,31722.0
201905.0,22508.0,24165.0,13731,32942,46673.0
201906.0,24339.0,24719.0,11813,37245,49058.0
201907.0,25778.0,27541.0,5972,47347,53319.0
201908.0,31357.0,31457.0,4996,57818,62814.0
201909.0,20746.0,24907.0,10780,34873,45653.0
201910.0,17316.0,18802.0,10135,25983,36118.0
201911.0,4589.0,3685.0,1386,6888,8274.0
201912.0,1685.0,1025.0,286,2424,2710.0
202001.0,1236.0,765.0,172,1829,2001.0
202002.0,1835.0,1241.0,247,2829,3076.0
202003.0,1062.0,886.0,199,1749,1948.0
202006.0,9.0,3.0,0,0,12.0
202007.0,5400.0,4352.0,0,0,9752.0
202008.0,10599.0,9213.0,2,10,19812.0
202009.0,5838.0,4603.0,636,9116,10441.0
202010.0,3816.0,2602.0,1118,18694,6418.0
202011.0,371.0,214.0,1291,9150,585.0
202012.0,55.0,44.0,839,5579,99.0
202101.0,45.0,15.0,56,529,60.0
202102.0,10.0,4.0,3,96,14.0
202103.0,105.0,89.0,4,56,194.0
202104.0,486.0,538.0,0,14,1024.0
202105.0,2155.0,2140.0,19,175,4295.0
202106.0,7809.0,7015.0,82,942,14824.0
202107.0,16499.0,17464.0,628,3667,33963.0
202108.0,21313.0,22262.0,2368,12456,43575.0
202109.0,18727.0,18735.0,3529,30434,37463.0
202110.0,16241.0,14929.0,3491,40084,31170.0
202111.0,4857.0,4237.0,8058,29405,9094.0
202112.0,678.0,515.0,7862,23308,1193.0
202201.0,917.0,700.0,1773,7321,1617.0
202202.0,1166.0,868.0,134,1059,2034.0
202203.0,3896.0,3493.0,133,1484,7389.0
202204.0,15639.0,18644.0,237,1797,34283.0
202205.0,22796.0,25458.0,1104,6285,48254.0
202206.0,28175.0,29837.0,5487,28796,58012.0
202207.0,31151.0,36223.0,15379,32875,67374.0
202208.0,40301.0,45541.0,14920,43092,85842.0
202209.0,30514.0,35681.0,8313,59061,66196.0
202210.0,24511.0,26845.0,7136,78706,51356.0
