ID,Year,Month,Religious,Non-Religious,Total
202006,2020,6,12,0,12
202007,2020,7,7660,2092,9752
202008,2020,8,14726,5086,19812
202009,2020,9,7414,3027,10441
202010,2020,10,4527,1891,6418
202011,2020,11,422,163,585
202012,2020,12,80,19,99
202101,2021,1,50,10,60
202102,2021,2,12,2,14
202103,2021,3,143,51,194
202104,2021,4,757,267,1024
202105,2021,5,3226,1069,4295
202106,2021,6,11491,3333,14824
202107,2021,7,27409,6554,33963
202108,2021,8,35260,8315,43575
202109,2021,9,29562,7901,37463
202110,2021,10,24749,6421,31170
202111,2021,11,7139,1955,9094
202112,2021,12,906,287,1193
202201,2022,1,1260,357,1617
202202,2022,2,1574,460,2034
202203,2022,3,5664,1725,7389
202204,2022,4,26131,8152,34283
202205,2022,5,37554,10700,48254
202206,2022,6,44952,13060,58012
202207,2022,7,52851,14523,67374
202208,2022,8,66850,18992,85842
202209,2022,9,49935,16261,66196
202210,2022,10,38861,12495,51356
